FrameCounter,Timestamp,LedState,Region0G,Region1R
12611,6135.72336,1,0.251519208413908,0.120463467465181
12612,6135.740032,2,0.040491656061132,0.035546225837488
12613,6135.756704,1,0.251546755257315,0.120580774949707
12614,6135.773376,2,0.0405004710510223,0.0355863573453522
12615,6135.790048,1,0.251409021040279,0.120547846532998
12616,6135.806688,2,0.0404266455106909,0.0356553012178369
12617,6135.82336,1,0.251249249348517,0.120566368767397
12618,6135.840032,2,0.0404597017227796,0.0355626900458425
12619,6135.856704,1,0.251439873504895,0.120461409439136
12620,6135.873376,2,0.0404751279550876,0.0355451968244658
12621,6135.890016,1,0.251304343035332,0.120431568061494
12622,6135.906688,2,0.0404585998490433,0.035533877681222
12623,6135.92336,1,0.251381474196872,0.120386291488519
12624,6135.940032,2,0.0404729242076151,0.0355966474755738
12625,6135.956704,1,0.251132450732471,0.120394523592696
12626,6135.973376,2,0.0404530904803619,0.0355472548505101
12627,6135.990016,1,0.251018957737633,0.120387320501541
12628,6136.006688,2,0.0404486829854167,0.0355554869546874
12629,6136.02336,1,0.251250351222253,0.120418190892206
12630,6136.040032,2,0.0405136935358577,0.0355493128765545
12631,6136.056704,1,0.25112363574258,0.12039658161874
12632,6136.073344,2,0.0403649405814588,0.0355482838635323
12633,6136.090016,1,0.251112617005217,0.120393494579674
12634,6136.106688,2,0.0403638387077225,0.035398047962297
12635,6136.12336,1,0.249261469128253,0.119707142893893
12636,6136.140032,2,0.0401269358544204,0.0351768101625326
12637,6136.156672,1,0.249276895360561,0.119539413771281
12638,6136.173344,2,0.0401390564655196,0.0351552008890672
12639,6136.190016,1,0.248951842608356,0.119490021146218
12640,6136.206688,2,0.0401599920665091,0.0353085238293691
12641,6136.22336,1,0.249034483138577,0.11953426870617
12642,6136.240032,2,0.0402227988694776,0.0352344348917736
12643,6136.256672,1,0.249048807497149,0.119410787143511
12644,6136.273344,2,0.0401401583392559,0.0352457540350173
12645,6136.290016,1,0.249193152956603,0.119437541482087
12646,6136.306688,2,0.0401655014351905,0.0352745663996378
12647,6136.32336,1,0.24953253006738,0.119712287959004
12648,6136.34,2,0.0403671443289313,0.0353476263242111
12649,6136.356672,1,0.250653135657185,0.120076558568849
12650,6136.373344,2,0.040342903106733,0.0353589454674549
12651,6136.390016,1,0.250933011586202,0.12021547532684
12652,6136.406688,2,0.0403979967935474,0.0353949609232305
12653,6136.423328,1,0.251187544419285,0.120062152386538
12654,6136.44,2,0.0404244417632184,0.035314697907502
12655,6136.456672,1,0.251135756353679,0.120155792571555
12656,6136.473344,2,0.0403539218440959,0.0353640905325657
12657,6136.490016,1,0.251416734156433,0.120191808027331
12658,6136.506656,2,0.0403550237178322,0.0354443535482942
12659,6136.523328,1,0.251564385237096,0.120381146423408
12660,6136.54,2,0.0404321548793724,0.0354834560431362
12661,6136.556672,1,0.251255860590935,0.120380117410386
12662,6136.573344,2,0.0403726536976128,0.0355349066942442
12663,6136.590016,1,0.251216193136429,0.120449061282871
12664,6136.606656,2,0.040415626773328,0.0355328486681999
12665,6136.623328,1,0.251245943727308,0.120412016814073
12666,6136.64,2,0.0404266455106909,0.0356275178662386
12667,6136.656672,1,0.251126941363789,0.120491250816779
12668,6136.673344,2,0.0403957930460749,0.0355606320197982
12669,6136.689984,1,0.251285611181815,0.120503598973045
12670,6136.706656,2,0.0403825705612394,0.03558532833233
12671,6136.723328,1,0.251115922626426,0.120467583517269
12672,6136.74,2,0.0404189323945369,0.0357180710121887
12673,6136.756672,1,0.251130246984998,0.120505656999089
12674,6136.773312,2,0.040392487424866,0.0356017925406846
12675,6136.789984,1,0.250830537328728,0.120518005155355
12676,6136.806656,2,0.0403175600107984,0.0356182567490392
12677,6136.823328,1,0.250840454192354,0.120362624189009
12678,6136.84,2,0.040384774308712,0.0355565159677096
12679,6136.856672,1,0.249500575729027,0.119761680584068
12680,6136.873312,2,0.0400156466070553,0.0350903730686712
12681,6136.889984,1,0.248119927937458,0.119199839473969
12682,6136.906656,2,0.0400079334909013,0.0350769958993831
12683,6136.923328,1,0.247768430215582,0.119121634484284
12684,6136.94,2,0.0398724030213378,0.0351891583187985
12685,6136.956672,1,0.247674770947997,0.119132953627528
12686,6136.973312,2,0.0399682660363949,0.0353044077772804
12687,6136.989984,1,0.247378366912935,0.119182346252592
12688,6137.006656,2,0.0399274967081522,0.0354217152618066
12689,6137.023328,1,0.247584417301621,0.119112373367085
12690,6137.04,2,0.0398459580516669,0.0354783109780254
12691,6137.056672,1,0.247367348175573,0.119240999994855
12692,6137.073312,2,0.039800781228479,0.0353476263242111
12693,6137.089984,1,0.246149777696974,0.118869526293855
12694,6137.106656,2,0.0397291594356203,0.0354145121706515
12695,6137.123328,1,0.246475932322915,0.118870555306877
12696,6137.139968,2,0.0398062905971605,0.0353733516497651
12697,6137.15664,1,0.246870403120506,0.118879816424077
12698,6137.173312,2,0.0399539416778231,0.035591502410463
12699,6137.189984,1,0.248139761664711,0.119592922448434
12700,6137.206656,2,0.0400266653444182,0.03558532833233
12701,6137.223328,1,0.248198160972734,0.119573371201013
12702,6137.239968,2,0.0400112391121101,0.0355369647202885
12703,6137.25664,1,0.248259865901966,0.119645402112564
12704,6137.273312,2,0.0400828609049689,0.0355503418895766
12705,6137.289984,1,0.248329283947352,0.119656721255807
12706,6137.306656,2,0.0401148152433213,0.0355822412932636
12707,6137.323296,1,0.249101697436491,0.119937641810857
12708,6137.339968,2,0.0401258339806842,0.0356758814782801
12709,6137.35664,1,0.24899812130528,0.11986766892535
12710,6137.373312,2,0.0401004908847495,0.0356306049053051
12711,6137.389984,1,0.2488317383711,0.119881046094638
12712,6137.406656,2,0.0401004908847495,0.0356059085927732
12713,6137.423296,1,0.249166707986932,0.119729781180381
12714,6137.439968,2,0.0401765201725534,0.0355235875510005
12715,6137.45664,1,0.249181032345504,0.119730810193403
12716,6137.473312,2,0.0401478714554099,0.0354937461733578
12717,6137.489952,1,0.249034483138577,0.119659808294874
12718,6137.506656,2,0.0401280377281567,0.0354392084831834
12719,6137.523296,1,0.249135855522316,0.119670098425096
12720,6137.539968,2,0.0402261044906864,0.0354217152618066
